FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,LCE (%),LLCE,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
0.725,0.566,1.28,1.521,0.19,0.153,0.037,0.148,0.124,0.024,0.262,0.25,0.012,99.3,2.155,Cycle,1,1,100,27
0.552,0.555,0.994,1.216,0.13,0.113,0.017,0.131,0.097,0.034,0.236,0.236,0,99.3,2.155,Cycle,0.2,0.5,100,69
1.437,0.615,2.338,2.174,0.35,0.331,0.02,0.15,0.11,0.04,0.244,0.244,0,99.4,2.222,Cycle,N/A,2,100,33
0.163,0.652,0.25,0.892,0.04,0,0.04,0.162,0.137,0.025,0.248,0.232,0.016,97.3,1.569,Cycle,0.5,1,110,16
0.125,0.916,0.136,1.394,0.025,0,0.025,0.185,0.135,0.05,0.202,0.202,0,99,2,Cycle,0.2,1,140,8
0.172,0.827,0.208,1.022,0.047,0.009,0.038,0.227,0.227,0,0.275,0.275,0,92.2,1.108,Cycle,0.5,1,150,39
0.169,0.826,0.205,1.021,0.047,0.009,0.038,0.227,0.226,0.001,0.275,0.275,0,94.4,1.252,Cycle,0.5,1,150,39
0.167,0.825,0.203,1.019,0.046,0.009,0.037,0.226,0.225,0.002,0.275,0.275,0,97.1,1.538,Cycle,0.5,1,150,39
0.167,0.833,0.2,1.5,0.036,0,0.036,0.182,0.109,0.073,0.218,0.218,0,98.2,1.745,Cycle,0.5,1,150,57
0.14,0.676,0.208,0.894,0.035,0,0.035,0.167,0.138,0.028,0.247,0.235,0.012,98.5,1.824,Cycle,0.5,1,150,46
0.963,0.481,2,1.667,0.239,0.22,0.018,0.119,0.083,0.037,0.248,0.248,0,98.8,1.921,Cycle,0.5,1,150,57
0.142,0.703,0.203,0.869,0.038,0,0.038,0.189,0.189,0,0.269,0.269,0,87,0.886,Cycle,0.1,0.1,160,37
0.052,0.578,0.09,0.682,0.012,0,0.012,0.137,0.119,0.019,0.238,0.238,0,96.4,1.444,Cycle,0.5,1,170,4
0.603,0.723,0.835,1.507,0.137,0,0.137,0.164,0.109,0.055,0.227,0.186,0.041,97,1.523,Cycle,0.5,1.5,180,26
0.586,1.172,0.5,2.887,0.085,0.072,0.012,0.169,0.144,0.025,0.144,0.144,0,97.87,1.672,Cycle,0.5,0.5,200,55
0.484,1.183,0.409,2.102,0.096,0,0.096,0.234,0.119,0.115,0.198,0.179,0.019,97.9,1.678,Cycle,0.5,0.5,200,56
0.076,0.775,0.098,0.87,0.019,0,0.019,0.196,0.192,0.005,0.254,0.254,0,97.9,1.678,Cycle,0.5,1,200,54
